"weight","w","county"
0,0,"Richmond"
1,0.01,"Richmond"
2,0.02,"Richmond"
3,0.03,"Richmond"
4,0.04,"Richmond"
5,0.05,"Henrico"
6,0.06,"Henrico"
7,0.07,"Henrico"
8,0.08,"Henrico"
9,0.09,"Henrico"
10,0.1,"Henrico"
11,0.11,"Henrico"
12,0.12,"Henrico"
13,0.13,"Goochland"
14,0.14,"Goochland"
15,0.15,"Goochland"
16,0.16,"Goochland"
17,0.17,"Goochland"
18,0.18,"Goochland"
19,0.19,"Hanover"
20,0.2,"Hanover"
21,0.21,"Hanover"
22,0.22,"Hanover"
23,0.23,"Louisa"
24,0.24,"Louisa"
25,0.25,"Louisa"
26,0.26,"Louisa"
27,0.27,"Louisa"
28,0.28,"Louisa"
29,0.29,"Louisa"
30,0.3,"Louisa"
31,0.31,"Louisa"
32,0.32,"Louisa"
33,0.33,"Louisa"
34,0.34,"Louisa"
35,0.35,"Louisa"
36,0.36,"Louisa"
37,0.37,"Louisa"
38,0.38,"Louisa"
39,0.39,"Louisa"
40,0.4,"Louisa"
41,0.41,"Louisa"
42,0.42,"Louisa"
43,0.43,"Louisa"
44,0.44,"Louisa"
45,0.45,"Louisa"
46,0.46,"Louisa"
47,0.47,"Louisa"
48,0.48,"Louisa"
49,0.49,"Louisa"
50,0.5,"Louisa"
51,0.51,"Louisa"
52,0.52,"Louisa"
53,0.53,"Louisa"
54,0.54,"Louisa"
55,0.55,"Louisa"
56,0.56,"Albemarle"
57,0.57,"Albemarle"
58,0.58,"Albemarle"
59,0.59,"Albemarle"
60,0.6,"Albemarle"
61,0.61,"Albemarle"
62,0.62,"Albemarle"
63,0.63,"Albemarle"
64,0.64,"Albemarle"
65,0.65,"Albemarle"
66,0.66,"Albemarle"
67,0.67,"Albemarle"
68,0.68,"Albemarle"
69,0.69,"Greene"
70,0.7,"Greene"
71,0.71,"Greene"
72,0.72,"Greene"
73,0.73,"Greene"
74,0.74,"Greene"
75,0.75,"Greene"
76,0.76,"Greene"
77,0.77,"Greene"
78,0.78,"Greene"
79,0.79,"Greene"
80,0.8,"Greene"
81,0.81,"Rockingham"
82,0.82,"Rockingham"
83,0.83,"Rockingham"
84,0.84,"Rockingham"
85,0.85,"Rockingham"
86,0.86,"Rockingham"
87,0.87,"Rockingham"
88,0.88,"Rockingham"
89,0.89,"Rockingham"
90,0.9,"Rockingham"
91,0.91,"Rockingham"
92,0.92,"Rockingham"
93,0.93,"Rockingham"
94,0.94,"Rockingham"
95,0.95,"Rockingham"
96,0.96,"Rockingham"
97,0.97,"Rockingham"
98,0.98,"Rockingham"
99,0.99,"Rockingham"
100,1,"Rockingham"
